alpha,dim,b,xsize,ysize,count,mean,std
0.1,1,b0.01,50,50,198,0.5425311715445569,0.4776777959159746
0.1,1,b0.01,100,50,188,0.5487839071075535,0.4789556802232305
0.1,1,b0.01,100,100,186,0.477526118127183,0.4733258969834961
0.1,1,b0.01,200,50,180,0.5465309412257988,0.47825150658996857
0.1,1,b0.01,200,100,171,0.5839019836200556,0.46921905904467026
0.1,1,b0.01,200,200,176,0.5218975748208866,0.46766960032892224
0.1,1,b0.01,500,50,139,0.6617572834016652,0.4449783075957738
0.1,1,b0.01,500,100,145,0.6967784179181743,0.43488181799048264
0.1,1,b0.01,500,200,147,0.6744026358059663,0.43036318186521233
0.1,1,b0.01,500,500,145,0.730698557800512,0.37328617671602665
0.1,1,b0.01,1000,50,125,0.7521483989749027,0.4013241756282731
0.1,1,b0.01,1000,100,129,0.8265616426254507,0.3335127925993568
0.1,1,b0.01,1000,200,137,0.787230957012581,0.3469244380272678
0.1,1,b0.01,1000,500,139,0.7979948624334138,0.3182874017589153
0.1,1,b0.01,1000,1000,148,0.7788367653493882,0.2973168572402745
0.1,2,b0.01,50,50,186,0.334586699204395,0.35785912632716105
0.1,2,b0.01,100,50,173,0.423415057031936,0.35200709813775194
0.1,2,b0.01,100,100,181,0.3855012425883731,0.3255659890345034
0.1,2,b0.01,200,50,153,0.42649098236007477,0.34924921093839933
0.1,2,b0.01,200,100,152,0.3979393331550474,0.3255290110015263
0.1,2,b0.01,200,200,166,0.3252357533726774,0.2697827759346524
0.1,2,b0.01,500,50,126,0.549205267745928,0.30725837627846275
0.1,2,b0.01,500,100,138,0.4884995903731654,0.27810088093601854
0.1,2,b0.01,500,200,135,0.3837906316167887,0.24464137476416925
0.1,2,b0.01,500,500,147,0.33058704613027595,0.1776821174734406
0.1,2,b0.01,1000,50,105,0.5960017286790948,0.2501438846527447
0.1,2,b0.01,1000,100,112,0.5501965885116096,0.2340662682059394
0.1,2,b0.01,1000,200,121,0.45989419899113987,0.1789774791814076
0.1,2,b0.01,1000,500,135,0.4028391246203915,0.12094829068492643
0.1,2,b0.01,1000,1000,133,0.3563758349016269,0.10366283754503497
0.1,5,b0.01,50,50,170,0.2377951990224978,0.20588280737600909
0.1,5,b0.01,100,50,153,0.2847504595627466,0.20923489509573903
0.1,5,b0.01,100,100,161,0.23327771233064537,0.1922264038840419
0.1,5,b0.01,200,50,120,0.3269939861746144,0.18193893198705646
0.1,5,b0.01,200,100,131,0.281156546148467,0.1569716927647257
0.1,5,b0.01,200,200,142,0.26772210489658416,0.1384207014982205
0.1,5,b0.01,500,50,104,0.3895045365923435,0.11906934852851646
0.1,5,b0.01,500,100,104,0.34489608537145566,0.1207645755737503
0.1,5,b0.01,500,200,119,0.3111660968934753,0.08836325981053952
0.1,5,b0.01,500,500,113,0.27059557438544085,0.09881521499922322
0.1,5,b0.01,1000,50,95,0.4086543871053963,0.11833929915035346
0.1,5,b0.01,1000,100,105,0.3572045767889219,0.1173295699483117
0.1,5,b0.01,1000,200,101,0.3339401323100628,0.07478751577367222
0.1,5,b0.01,1000,500,117,0.28319129505422813,0.08507765138452301
0.1,5,b0.01,1000,1000,123,0.28021647932839605,0.050451744588208704
0.1,10,b0.01,50,50,157,0.2241893645999546,0.16035455085252745
0.1,10,b0.01,100,50,130,0.26062902248589126,0.14986941791428882
0.1,10,b0.01,100,100,147,0.23754439676688408,0.1265619355882129
0.1,10,b0.01,200,50,101,0.2890757469114882,0.12114133825970873
0.1,10,b0.01,200,100,112,0.2627931043873379,0.11008315905119634
0.1,10,b0.01,200,200,123,0.22433025124514816,0.1124550441978768
