,,,,,alpha_hat,alpha_hat,alpha_hat
,,,,,count,mean,std
alpha,dim,b,xsize,ysize,,,
0.1,1,b0.1,50,50,137,0.6357071641436537,0.45243600309309395
0.1,1,b0.1,100,50,131,0.6155316725031718,0.4591628493739364
0.1,1,b0.1,100,100,132,0.6150888473495749,0.45128618759023686
0.1,1,b0.1,200,50,125,0.5718164314573271,0.47371327018635984
0.1,1,b0.1,200,100,127,0.6430048863742988,0.4392069013348091
0.1,1,b0.1,200,200,134,0.6205929264068341,0.4320329758656218
0.1,1,b0.1,500,50,101,0.7308761431743384,0.3987779058946761
0.1,1,b0.1,500,100,112,0.6811902082827868,0.4253766788963252
0.1,1,b0.1,500,200,116,0.6965919671682501,0.40557594694767257
0.1,1,b0.1,500,500,124,0.7001057483477102,0.37198077614419284
0.1,1,b0.1,1000,50,96,0.7495522492884735,0.3792564795007877
0.1,1,b0.1,1000,100,104,0.7293763100838679,0.3899948079088306
0.1,1,b0.1,1000,200,103,0.7746860460371731,0.3379059817139149
0.1,1,b0.1,1000,500,119,0.7790854393749128,0.30689745738533325
0.1,1,b0.1,1000,1000,120,0.7969404999381677,0.2543827098357573
0.1,2,b0.1,50,50,130,0.2970458476708027,0.2658956517011504
0.1,2,b0.1,100,50,122,0.2877894805024578,0.25951920345797574
0.1,2,b0.1,100,100,128,0.3031886490969301,0.2250134217411023
0.1,2,b0.1,200,50,119,0.37651143474940946,0.2873003442393101
0.1,2,b0.1,200,100,122,0.31360440916509374,0.2277898493283979
0.1,2,b0.1,200,200,119,0.28153151236662766,0.1803353146788328
0.1,2,b0.1,500,50,94,0.3977158622334427,0.25372913474879555
0.1,2,b0.1,500,100,106,0.311045007214862,0.18604770441699478
0.1,2,b0.1,500,200,111,0.3138283918588953,0.17291696701425802
0.1,2,b0.1,500,500,112,0.27074332689932445,0.12948326525946138
0.1,2,b0.1,1000,50,76,0.4732534447202759,0.27559482225861565
0.1,2,b0.1,1000,100,82,0.39557739275354836,0.16407861520433548
0.1,2,b0.1,1000,200,96,0.32107486108300304,0.15303577169279525
0.1,2,b0.1,1000,500,104,0.2870446376579257,0.1219803769813175
0.1,2,b0.1,1000,1000,114,0.27080386894403197,0.10962819320023005
0.1,5,b0.1,50,50,124,0.1822915518599169,0.1283509789288815
0.1,5,b0.1,100,50,118,0.20409047445705705,0.12716492442063587
0.1,5,b0.1,100,100,123,0.19186422679506984,0.10912059993020407
0.1,5,b0.1,200,50,113,0.2159980498046008,0.11991807651054924
0.1,5,b0.1,200,100,122,0.20307006980838016,0.101758939178417
0.1,5,b0.1,200,200,122,0.18816367800729958,0.0964722070582664
0.1,5,b0.1,500,50,100,0.23603742297496677,0.11847916941129796
0.1,5,b0.1,500,100,105,0.22161965728069716,0.09896103245544584
0.1,5,b0.1,500,200,113,0.19978919479439491,0.08396132157696369
0.1,5,b0.1,500,500,114,0.20837848456323346,0.06579324528364155
0.1,5,b0.1,1000,50,84,0.2575556510588024,0.108541569883286
0.1,5,b0.1,1000,100,91,0.2346802444539267,0.08857711041123076
0.1,5,b0.1,1000,200,95,0.2106758568011017,0.08512552106894937
0.1,5,b0.1,1000,500,108,0.213004498761946,0.06680582338555974
0.1,5,b0.1,1000,1000,102,0.2099497253799187,0.056671766646612685
0.1,10,b0.1,50,50,114,0.1830498756300952,0.09197047829993779
0.1,10,b0.1,100,50,112,0.19397901091082126,0.08812904122482736
0.1,10,b0.1,100,100,115,0.17717173897509697,0.07003055055914176
0.1,10,b0.1,200,50,106,0.2000561535497415,0.07881453719232456
0.1,10,b0.1,200,100,114,0.1739630242751896,0.0718661104579379
0.1,10,b0.1,200,200,115,0.1833589279566914,0.05596903800492033
0.1,10,b0.1,500,50,96,0.2070208602315011,0.08300750624848971
0.1,10,b0.1,500,100,101,0.19273183963747578,0.06713274722789268
0.1,10,b0.1,500,200,103,0.17753038165073756,0.05918729156848585
0.1,10,b0.1,500,500,105,0.17477911642292637,0.04731536369314995
0.1,10,b0.1,1000,50,77,0.20224312118152538,0.08820721363864055
0.1,10,b0.1,1000,100,88,0.19080508563426662,0.07062920372733911
0.1,10,b0.1,1000,200,92,0.18226648169950999,0.059841597854303756
