,,,,,alpha_hat,alpha_hat,alpha_hat
,,,,,count,mean,std
alpha,dim,b,xsize,ysize,,,
0.1,1,bAUTO,50,50,199,0.671309162136354,0.39598191842888053
0.1,1,bAUTO,100,50,200,0.6888415867401378,0.385180753307938
0.1,1,bAUTO,100,100,199,0.729942246409252,0.34944844718294055
0.1,1,bAUTO,200,50,196,0.7293325173844367,0.3710723355593199
0.1,1,bAUTO,200,100,198,0.7478636112574498,0.3395928254535216
0.1,1,bAUTO,200,200,199,0.799888209214613,0.2795513548962944
0.1,1,bAUTO,500,50,193,0.6849535403408459,0.39198771091335116
0.1,1,bAUTO,500,100,197,0.7290556985825082,0.3477236066239493
0.1,1,bAUTO,500,200,199,0.8092220751824459,0.2644501728583085
0.1,1,bAUTO,500,500,200,0.8626819701978563,0.16089385215957736
0.1,1,bAUTO,1000,50,189,0.7561856600366095,0.342667081977932
0.1,1,bAUTO,1000,100,193,0.7766180435267322,0.31789675801596134
0.1,1,bAUTO,1000,200,194,0.8487933412837254,0.2216175222206659
0.1,1,bAUTO,1000,500,198,0.8914441655404448,0.09669922045907527
0.1,1,bAUTO,1000,1000,200,0.890873441307024,0.061466997274550475
0.1,2,bAUTO,50,50,200,0.35714830512345713,0.24580091078946983
0.1,2,bAUTO,100,50,194,0.3298915436151961,0.2534270895510573
0.1,2,bAUTO,100,100,200,0.31156268096874445,0.18231701745975679
0.1,2,bAUTO,200,50,195,0.34802554605014063,0.2407713166300472
0.1,2,bAUTO,200,100,196,0.2892961374929473,0.18009049424420354
0.1,2,bAUTO,200,200,199,0.2930993230850862,0.15049029646614934
0.1,2,bAUTO,500,50,189,0.2968436056254386,0.21653101390953244
0.1,2,bAUTO,500,100,191,0.29519793079332285,0.1775332502558217
0.1,2,bAUTO,500,200,191,0.30150843850088993,0.12312223623910096
0.1,2,bAUTO,500,500,192,0.2856739584358771,0.09389586057294935
0.1,2,bAUTO,1000,50,180,0.38893262283861807,0.26667362088158086
0.1,2,bAUTO,1000,100,186,0.32398856342322335,0.19874031237983125
0.1,2,bAUTO,1000,200,191,0.2845971155467749,0.1395428398435775
0.1,2,bAUTO,1000,500,197,0.2725212426137462,0.08952142765272324
0.1,2,bAUTO,1000,1000,197,0.28003001133498623,0.07596421979629565
0.1,5,bAUTO,50,50,198,0.22473687690662958,0.12470023560055546
0.1,5,bAUTO,100,50,193,0.22464810102445426,0.12957856372116255
0.1,5,bAUTO,100,100,195,0.20616527464430287,0.09375817106485546
0.1,5,bAUTO,200,50,193,0.2276632986342184,0.12124984564963631
0.1,5,bAUTO,200,100,192,0.21078751906238646,0.0888140596135194
0.1,5,bAUTO,200,200,194,0.19742624128572997,0.07275580049430817
0.1,5,bAUTO,500,50,171,0.23372384570366128,0.10912117492079867
0.1,5,bAUTO,500,100,180,0.21756774289642597,0.09136423311842176
0.1,5,bAUTO,500,200,185,0.2017033846904547,0.07405417029026778
0.1,5,bAUTO,500,500,194,0.1996915389844245,0.051308492034301635
0.1,5,bAUTO,1000,50,156,0.22788071324873543,0.11169105826745836
0.1,5,bAUTO,1000,100,162,0.22324399268214806,0.09091737062969962
0.1,5,bAUTO,1000,200,171,0.2139328935453631,0.07300605951241565
0.1,5,bAUTO,1000,500,178,0.2102252879307333,0.05548596396199069
0.1,5,bAUTO,1000,1000,176,0.20121302718701467,0.04966463494112996
0.1,10,bAUTO,50,50,192,0.1761108970605683,0.09485864344356983
0.1,10,bAUTO,100,50,186,0.20777883353683813,0.10000730545894425
0.1,10,bAUTO,100,100,190,0.18431281606318564,0.08124067073560379
0.1,10,bAUTO,200,50,177,0.20742963916710017,0.09918343704901138
0.1,10,bAUTO,200,100,183,0.19135318346656682,0.07509839492567831
0.1,10,bAUTO,200,200,193,0.18954540067581951,0.06549215389007385
0.1,10,bAUTO,500,50,166,0.21476665323050334,0.1005201050610518
0.1,10,bAUTO,500,100,171,0.2017067136213484,0.06992217189009307
0.1,10,bAUTO,500,200,167,0.18861664718062465,0.061408021945269474
0.1,10,bAUTO,500,500,181,0.18406538271764672,0.04858657816033552
0.1,10,bAUTO,1000,50,147,0.23821970413335092,0.08668744000967854
